Station,Latitude,Longitude,Height
8500261,47.21793749,7.513015082,518.8072828
8500262,47.218578,7.469502948,603.8472502
8500263,47.23090807,7.47501647,664.8109566
8500264,47.2359826,7.493772533,703.780273
8500265,47.26545905,7.465196047,767.7333834
8500266,47.28561828,7.450361883,693.6967969
8500267,47.28557386,7.435319424,672.7112489
8500268,47.28371088,7.422313165,649.7283338
8508253,46.79088692,7.606030397,601.7918382
8506206,47.46240863,9.040979152,616.7128276
8506208,47.43644192,9.130968253,610.6886921
8500292,47.30347652,7.694762412,532.4182462
8500293,47.30854576,7.688227583,534.4117722
8500294,47.31288664,7.693921466,540.395409
8506209,47.41518974,9.189763314,657.6834355
8500300,47.53848905,7.724130366,321.799717
8506210,47.41182991,9.253030199,684.6291819
8500302,47.5618477,7.833861618,355.6361684
8500303,47.54761524,7.909618986,357.5993245
8504400,46.97506861,7.19280393,492.7246582
8504401,46.99912235,7.206038902,490.6513977
8504402,47.0255155,7.235192908,494.5570728
8504403,47.04015763,7.261176893,498.4953927
8504404,47.04453698,7.278690161,498.4676517
8500309,47.48084984,8.208828776,399.4786291
8500313,47.5458645,7.768030902,332.7392526
8504410,47.00182024,7.462909306,609.3990282
8504411,47.02136838,7.451948324,603.3603398
8504412,47.04184785,7.386004086,568.3719171
8504413,47.05877233,7.338997563,525.3742227
8504414,47.07631556,7.306298243,493.3612448
8504415,47.0986726,7.318624959,486.293163
8504416,47.12362922,7.278216823,485.268805
8500322,47.5597614,8.061276494,365.4232337
8504419,47.14471409,7.272484723,492.2211322
8516444,46.98977147,7.199283132,487.6814122
8500329,47.60033275,8.227023454,368.1619636
8508265,47.01601882,7.655631562,620.1781537
8504441,47.11042812,7.301747628,485.2796426
8504480,47.01209685,6.984688701,481.8290957
8504481,47.00910205,7.010594152,499.812087
8504482,47.00936288,7.056447874,482.7679018
8504483,46.99982855,7.099562713,487.7509874
8504484,46.99331779,7.14243513,485.7266223
8504485,46.95405474,7.218871602,543.7527708
8504486,46.94217378,7.234405084,543.7678908
8504487,46.93433427,7.296864404,629.7279589
8504488,46.94114766,7.334054066,617.6752152
8504489,46.94582648,7.389749579,604.6100963
8504490,47.00927381,7.030581531,485.792686
8504495,46.94635251,7.40117647,600.5978212
8508292,47.12854934,7.905724383,661.6543916
8508293,47.13673839,7.926530845,636.613743
8508294,47.14020411,7.970579578,593.5624571
8508295,47.12255612,7.99706433,603.58107
8504200,46.78188459,6.641147909,485.73618
8508297,47.0834305,8.040930516,644.6366268
8504205,46.89907138,6.781030866,501.3075235
8504209,46.96764466,6.848877072,540.0700068
8504215,46.94241261,6.676567331,798.2965177
8504216,46.95492052,6.721806618,778.2222144
8504217,46.95990946,6.774991376,699.1593964
8504218,46.96896289,6.837692903,594.0772529
8504219,46.9796363,6.877713475,542.0124195
8504220,46.98395974,6.903365687,524.9772136
8504221,46.99672658,6.935712804,528.9143277
8504222,47.01456934,6.982116338,513.8252914
8500127,47.45586677,7.055391319,445.6419884
8504224,47.05194248,7.039535423,485.6764894
8504231,46.9855232,6.899156913,559.9772484
8504232,46.98334508,6.883813127,580.9972756
8517131,47.53057271,7.70987902,319.8332127
8504237,47.04717635,6.874677972,1003.844623
8509000,46.8530778,9.528925818,632.7401959
8509002,46.96743761,9.554029855,570.4315149
8509004,47.01030528,9.505217046,549.3742707
8506302,47.42318012,9.369875449,716.4851648
8505000,47.05016528,8.310171853,484.4578791
8505001,47.05013777,8.383045133,520.3867318
8505002,47.08358966,8.433494491,505.253766
8505003,47.09160949,8.462660459,508.2051794
8505004,47.04915186,8.549491215,558.2260992
8505005,47.04765903,8.607435149,515.1729055
8505006,47.02638998,8.632139333,503.2016887
8505007,46.99917047,8.610048105,487.2913518
8505011,47.06765157,8.409039746,513.3175258
8505018,47.04503828,8.374124965,518.4082044
8506314,47.45321483,9.638253083,448.1436354
8506317,47.41038781,9.62724544,452.2607047
8517336,47.05392339,8.33728106,487.4220018
8502223,47.29877903,8.445953367,544.7038488
8501000,46.22127952,6.065722802,481.7005013
8501001,46.17867965,5.999976927,408.8706449
8501002,46.18779095,6.017535385,429.8309642
8501003,46.2142394,6.037491237,466.7449647
8501006,46.22235033,6.076895142,486.6872604
8501007,46.22072722,6.093876755,480.6753881
8501008,46.21021933,6.142435012,443.6562977
8501011,46.24996011,6.147324588,441.5507627
8501012,46.26377593,6.161304711,438.5024974
8501013,46.28740774,6.162657486,445.4412152
8501014,46.29989183,6.16955574,446.4030142
